NDU;Reference;Data;Specie
1,000;Chamber e Momsen (2007), Mountain;2004;Maiz
0,314;Chamber e Momsen (2007), Mountain;2004;Maiz
0,229;Chamber e Momsen (2007), Mountain;2004;Maiz
0,200;Chamber e Momsen (2007), Mountain;2004;Maiz
0,086;Chamber e Momsen (2007), Mountain;2004;Maiz
0,086;Chamber e Momsen (2007), Mountain;2004;Maiz
0,029;Chamber e Momsen (2007), Mountain;2004;Maiz
0,029;Chamber e Momsen (2007), Mountain;2004;Maiz
0,914;Chamber e Momsen (2007), Valley;2004;Maiz
0,143;Chamber e Momsen (2007), Valley;2004;Maiz
0,114;Chamber e Momsen (2007), Valley;2004;Maiz
0,086;Chamber e Momsen (2007), Valley;2004;Maiz
0,086;Chamber e Momsen (2007), Valley;2004;Maiz
0,029;Chamber e Momsen (2007), Valley;2004;Maiz
0,886;Chamber e Momsen (2007), Mesa;2004;Maiz
0,400;Chamber e Momsen (2007), Mesa;2004;Maiz
0,343;Chamber e Momsen (2007), Mesa;2004;Maiz
0,314;Chamber e Momsen (2007), Mesa;2004;Maiz
0,257;Chamber e Momsen (2007), Mesa;2004;Maiz
0,114;Chamber e Momsen (2007), Mesa;2004;Maiz
0,029;Chamber e Momsen (2007), Mesa;2004;Maiz
0,029;Chamber e Momsen (2007), Mesa;2004;Maiz
0,029;Chamber e Momsen (2007), Mesa;2004;Maiz
0,886;Chamber e Momsen (2007), Plains;2004;Maiz
0,371;Chamber e Momsen (2007), Plains;2004;Maiz
0,200;Chamber e Momsen (2007), Plains;2004;Maiz
0,171;Chamber e Momsen (2007), Plains;2004;Maiz
0,086;Chamber e Momsen (2007), Plains;2004;Maiz
0,086;Chamber e Momsen (2007), Plains;2004;Maiz
0,057;Chamber e Momsen (2007), Plains;2004;Maiz
0,057;Chamber e Momsen (2007), Plains;2004;Maiz
0,057;Chamber e Momsen (2007), Plains;2004;Maiz
0,029;Chamber e Momsen (2007), Plains;2004;Maiz
0,574;Fenzi et al, (2017), 1999;1999;Maiz
0,492;Fenzi et al, (2017), 1999;1999;Maiz
0,295;Fenzi et al, (2017), 1999;1999;Maiz
0,148;Fenzi et al, (2017), 1999;1999;Maiz
0,115;Fenzi et al, (2017), 1999;1999;Maiz
0,115;Fenzi et al, (2017), 1999;1999;Maiz
0,098;Fenzi et al, (2017), 1999;1999;Maiz
0,098;Fenzi et al, (2017), 1999;1999;Maiz
0,098;Fenzi et al, (2017), 1999;1999;Maiz
0,066;Fenzi et al, (2017), 1999;1999;Maiz
0,049;Fenzi et al, (2017), 1999;1999;Maiz
0,049;Fenzi et al, (2017), 1999;1999;Maiz
0,016;Fenzi et al, (2017), 1999;1999;Maiz
0,535;Fenzi et al, (2017), 2011;2011;Maiz
0,380;Fenzi et al, (2017), 2011;2011;Maiz
0,324;Fenzi et al, (2017), 2011;2011;Maiz
0,310;Fenzi et al, (2017), 2011;2011;Maiz
0,169;Fenzi et al, (2017), 2011;2011;Maiz
0,141;Fenzi et al, (2017), 2011;2011;Maiz
0,127;Fenzi et al, (2017), 2011;2011;Maiz
0,113;Fenzi et al, (2017), 2011;2011;Maiz
0,085;Fenzi et al, (2017), 2011;2011;Maiz
0,085;Fenzi et al, (2017), 2011;2011;Maiz
0,070;Fenzi et al, (2017), 2011;2011;Maiz
0,042;Fenzi et al, (2017), 2011;2011;Maiz
0,042;Fenzi et al, (2017), 2011;2011;Maiz
0,590;Louette (1997);1989;Maiz
0,333;Louette (1997);1989;Maiz
0,231;Louette (1997);1989;Maiz
0,231;Louette (1997);1989;Maiz
0,128;Louette (1997);1989;Maiz
0,103;Louette (1997);1989;Maiz
0,103;Louette (1997);1989;Maiz
0,103;Louette (1997);1989;Maiz
0,103;Louette (1997);1989;Maiz
0,077;Louette (1997);1989;Maiz
0,077;Louette (1997);1989;Maiz
0,077;Louette (1997);1989;Maiz
0,077;Louette (1997);1989;Maiz
0,077;Louette (1997);1989;Maiz
0,051;Louette (1997);1989;Maiz
0,051;Louette (1997);1989;Maiz
0,051;Louette (1997);1989;Maiz
0,051;Louette (1997);1989;Maiz
0,051;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,026;Louette (1997);1989;Maiz
0,742;Bellon e Brush (1994);1988;Maiz
0,742;Bellon e Brush (1994);1988;Maiz
0,742;Bellon e Brush (1994);1988;Maiz
0,742;Bellon e Brush (1994);1988;Maiz
0,742;Bellon e Brush (1994);1988;Maiz
0,677;Bellon e Brush (1994);1988;Maiz
0,419;Bellon e Brush (1994);1988;Maiz
0,129;Bellon e Brush (1994);1988;Maiz
0,129;Bellon e Brush (1994);1988;Maiz
0,129;Bellon e Brush (1994);1988;Maiz
0,097;Bellon e Brush (1994);1988;Maiz
0,032;Bellon e Brush (1994);1988;Maiz
0,032;Bellon e Brush (1994);1988;Maiz
0,032;Bellon e Brush (1994);1988;Maiz
0,032;Bellon e Brush (1994);1988;Maiz
0,380;Tamaquiza et al (2017);2015;Potato
0,170;Tamaquiza et al (2017);2015;Potato
0,060;Tamaquiza et al (2017);2015;Potato
0,050;Tamaquiza et al (2017);2015;Potato
0,020;Tamaquiza et al (2017);2015;Potato
0,020;Tamaquiza et al (2017);2015;Potato
0,020;Tamaquiza et al (2017);2015;Potato
0,020;Tamaquiza et al (2017);2015;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
1,000;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
0,500;Jackson et al (1980);1978;Potato
1,000;Duputie et al (2009);2007;Manioc
1,000;Duputie et al (2009);2007;Manioc
0,900;Duputie et al (2009);2007;Manioc
0,900;Duputie et al (2009);2007;Manioc
0,900;Duputie et al (2009);2007;Manioc
0,800;Duputie et al (2009);2007;Manioc
0,800;Duputie et al (2009);2007;Manioc
0,800;Duputie et al (2009);2007;Manioc
0,800;Duputie et al (2009);2007;Manioc
0,700;Duputie et al (2009);2007;Manioc
0,700;Duputie et al (2009);2007;Manioc
0,700;Duputie et al (2009);2007;Manioc
0,700;Duputie et al (2009);2007;Manioc
0,700;Duputie et al (2009);2007;Manioc
0,600;Duputie et al (2009);2007;Manioc
0,500;Duputie et al (2009);2007;Manioc
0,500;Duputie et al (2009);2007;Manioc
0,500;Duputie et al (2009);2007;Manioc
0,500;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,400;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,300;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,200;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,100;Duputie et al (2009);2007;Manioc
0,926;Marchetti et al (2013). 1992;1992;Manioc
0,815;Marchetti et al (2013). 1992;1992;Manioc
0,741;Marchetti et al (2013). 1992;1992;Manioc
0,444;Marchetti et al (2013). 1992;1992;Manioc
0,333;Marchetti et al (2013). 1992;1992;Manioc
0,333;Marchetti et al (2013). 1992;1992;Manioc
0,222;Marchetti et al (2013). 1992;1992;Manioc
0,185;Marchetti et al (2013). 1992;1992;Manioc
0,185;Marchetti et al (2013). 1992;1992;Manioc
0,185;Marchetti et al (2013). 1992;1992;Manioc
0,185;Marchetti et al (2013). 1992;1992;Manioc
0,185;Marchetti et al (2013). 1992;1992;Manioc
0,148;Marchetti et al (2013). 1992;1992;Manioc
0,148;Marchetti et al (2013). 1992;1992;Manioc
0,148;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,111;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,074;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,037;Marchetti et al (2013). 1992;1992;Manioc
0,433;Marchetti et al (2013). 2011;2011;Manioc
0,400;Marchetti et al (2013). 2011;2011;Manioc
0,367;Marchetti et al (2013). 2011;2011;Manioc
0,300;Marchetti et al (2013). 2011;2011;Manioc
0,267;Marchetti et al (2013). 2011;2011;Manioc
0,233;Marchetti et al (2013). 2011;2011;Manioc
0,233;Marchetti et al (2013). 2011;2011;Manioc
0,167;Marchetti et al (2013). 2011;2011;Manioc
0,167;Marchetti et al (2013). 2011;2011;Manioc
0,100;Marchetti et al (2013). 2011;2011;Manioc
0,100;Marchetti et al (2013). 2011;2011;Manioc
0,100;Marchetti et al (2013). 2011;2011;Manioc
0,100;Marchetti et al (2013). 2011;2011;Manioc
0,100;Marchetti et al (2013). 2011;2011;Manioc
0,067;Marchetti et al (2013). 2011;2011;Manioc
0,067;Marchetti et al (2013). 2011;2011;Manioc
0,067;Marchetti et al (2013). 2011;2011;Manioc
0,067;Marchetti et al (2013). 2011;2011;Manioc
0,067;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,033;Marchetti et al (2013). 2011;2011;Manioc
0,959;Boster (1984);1977;Manioc
0,919;Boster (1984);1977;Manioc
0,865;Boster (1984);1977;Manioc
0,797;Boster (1984);1977;Manioc
0,581;Boster (1984);1977;Manioc
0,581;Boster (1984);1977;Manioc
0,473;Boster (1984);1977;Manioc
0,473;Boster (1984);1977;Manioc
0,324;Boster (1984);1977;Manioc
0,284;Boster (1984);1977;Manioc
0,270;Boster (1984);1977;Manioc
0,270;Boster (1984);1977;Manioc
0,257;Boster (1984);1977;Manioc
0,216;Boster (1984);1977;Manioc
0,203;Boster (1984);1977;Manioc
0,203;Boster (1984);1977;Manioc
0,203;Boster (1984);1977;Manioc
0,162;Boster (1984);1977;Manioc
0,149;Boster (1984);1977;Manioc
0,149;Boster (1984);1977;Manioc
0,149;Boster (1984);1977;Manioc
0,149;Boster (1984);1977;Manioc
0,149;Boster (1984);1977;Manioc
0,135;Boster (1984);1977;Manioc
0,135;Boster (1984);1977;Manioc
0,122;Boster (1984);1977;Manioc
0,122;Boster (1984);1977;Manioc
0,122;Boster (1984);1977;Manioc
0,108;Boster (1984);1977;Manioc
0,108;Boster (1984);1977;Manioc
0,108;Boster (1984);1977;Manioc
0,108;Boster (1984);1977;Manioc
0,095;Boster (1984);1977;Manioc
0,095;Boster (1984);1977;Manioc
0,095;Boster (1984);1977;Manioc
0,095;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,081;Boster (1984);1977;Manioc
0,068;Boster (1984);1977;Manioc
0,068;Boster (1984);1977;Manioc
0,068;Boster (1984);1977;Manioc
0,054;Boster (1984);1977;Manioc
0,054;Boster (1984);1977;Manioc
0,041;Boster (1984);1977;Manioc
0,027;Boster (1984);1977;Manioc
1,000;Elias et al (2000);1997;Manioc
0,875;Elias et al (2000);1997;Manioc
0,833;Elias et al (2000);1997;Manioc
0,708;Elias et al (2000);1997;Manioc
0,625;Elias et al (2000);1997;Manioc
0,625;Elias et al (2000);1997;Manioc
0,583;Elias et al (2000);1997;Manioc
0,583;Elias et al (2000);1997;Manioc
0,500;Elias et al (2000);1997;Manioc
0,500;Elias et al (2000);1997;Manioc
0,500;Elias et al (2000);1997;Manioc
0,417;Elias et al (2000);1997;Manioc
0,417;Elias et al (2000);1997;Manioc
0,375;Elias et al (2000);1997;Manioc
0,375;Elias et al (2000);1997;Manioc
0,375;Elias et al (2000);1997;Manioc
0,375;Elias et al (2000);1997;Manioc
0,333;Elias et al (2000);1997;Manioc
0,333;Elias et al (2000);1997;Manioc
0,333;Elias et al (2000);1997;Manioc
0,292;Elias et al (2000);1997;Manioc
0,292;Elias et al (2000);1997;Manioc
0,250;Elias et al (2000);1997;Manioc
0,250;Elias et al (2000);1997;Manioc
0,208;Elias et al (2000);1997;Manioc
0,208;Elias et al (2000);1997;Manioc
0,167;Elias et al (2000);1997;Manioc
0,167;Elias et al (2000);1997;Manioc
0,167;Elias et al (2000);1997;Manioc
0,167;Elias et al (2000);1997;Manioc
0,125;Elias et al (2000);1997;Manioc
0,125;Elias et al (2000);1997;Manioc
0,125;Elias et al (2000);1997;Manioc
0,125;Elias et al (2000);1997;Manioc
